filename,label
Image_1.jpg,1
Image_2.jpg,0
Image_3.jpg,0
Image_4.jpg,0
Image_5.jpg,0
Image_6.jpg,0
Image_7.jpg,0
Image_8.jpg,0
Image_9.jpg,0
Image_10.jpg,0
Image_11.jpg,0
Image_12.jpg,1
Image_13.jpg,0
Image_14.jpg,0
Image_15.jpg,1
Image_16.jpg,0
Image_17.jpg,0
Image_18.jpg,0
Image_19.jpg,0
Image_20.jpg,0
Image_21.jpg,0
Image_22.jpg,0
Image_23.jpg,0
Image_24.jpg,1
Image_25.jpg,0
Image_26.jpg,0
Image_27.jpg,0
Image_28.jpg,0
Image_29.jpg,0
Image_30.jpg,0
Image_31.jpg,0
Image_32.jpg,0
Image_33.jpg,0
Image_34.jpg,0
Image_35.jpg,0
Image_36.jpg,1
Image_37.jpg,0
Image_38.jpg,0
Image_39.jpg,1
Image_40.jpg,0
Image_41.jpg,0
Image_42.jpg,0
Image_43.jpg,0
Image_44.jpg,0
Image_45.jpg,0
Image_46.jpg,0
Image_47.jpg,0
Image_48.jpg,0
Image_49.jpg,0
Image_50.jpg,1
Image_51.jpg,0
Image_52.jpg,0
Image_53.jpg,1
Image_54.jpg,1
Image_55.jpg,0
Image_56.jpg,0
Image_57.jpg,0
Image_58.jpg,0
Image_59.jpg,0
Image_60.jpg,1
Image_61.jpg,0
Image_62.jpg,0
Image_63.jpg,0
Image_64.jpg,0
Image_65.jpg,0
Image_66.jpg,0
Image_67.jpg,1
Image_68.jpg,0
Image_69.jpg,0
Image_70.jpg,0
Image_71.jpg,1
Image_72.jpg,0
Image_73.jpg,0
Image_74.jpg,0
Image_75.jpg,0
Image_76.jpg,0
Image_77.jpg,0
Image_78.jpg,0
Image_79.jpg,0
Image_80.jpg,1
Image_81.jpg,0
Image_82.jpg,0
Image_83.jpg,1
Image_84.jpg,0
Image_85.jpg,0
Image_86.jpg,0
Image_87.jpg,0
Image_88.jpg,0
Image_89.jpg,0
Image_90.jpg,0
Image_91.jpg,0
Image_92.jpg,0
Image_93.jpg,0
Image_94.jpg,1
Image_95.jpg,1
Image_96.jpg,0
Image_97.jpg,0
Image_98.jpg,0
Image_99.jpg,1
Image_100.jpg,0
Image_101.jpg,0
Image_102.jpg,0
Image_103.jpg,0
Image_104.jpg,0
